term,2_埔里家樂福,3_新仁家樂福,4_頭份大潤發,6_楠梓家樂福,7_土城青雲,8_高雄成功家樂福,9_新竹大魯閣,10_青海家樂福,11_斗六家樂福,12_東海Jmall,13_新楠家樂福,14_桃園春日家樂福,15_苗栗家樂福,16_彰化家樂福,17_永康中正家樂福,18_基隆愛買,19_台中大魯閣,20_宜蘭家樂福,21_新竹忠孝,22_高雄美術南三,23_嘉義北門家樂福,24_高雄三多三,25_板橋南雅愛買,26_桃園愛買,27_員林大潤發,28_基隆仁二,29_樹林家樂福,30_南投家樂福,31_仁德中山,32_安平家樂福,33_高雄鼎山家樂福,34_屏東家樂福,35_竹南家樂福,36_重新家樂福,37_台中黎明,38_林口家樂福,39_清水中山,40_三峽大學,41_嘉義大潤發,42_三重龍門,43_太平中山,44_台中文心家樂福,45_蘆洲家樂福,46_豐原源豐,47_淡水中山,48_桃園南平,49_台中文心崇德,50_大里大買家,51_台中美村南,52_捷運七張,53_八德家樂福,54_鳳山五甲,55_新竹林森,56_台北安居,57_台南中華東,58_高雄華夏,59_新莊輔大,60_台中中華,61_中壢中美,62_高雄鳳山,63_台北士林中正,64_中和德光,65_中壢家樂福,66_台北天母,67_台北興隆,68_板橋捷運新埔,69_台北民權龍江,70_台北桂林家樂福,71_台北信義,72_台北捷運後山埤
滷肉飯,0.00525973921922813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002496638329831855,0.004110512426994241,0,0,0,0.0012129200660713343,0,0,0,0.0015742691690884196,0.0013334985902866611,0,0,0,0,0,0,0,0,0,0,0,0.0010583322145132233,0,0,0,0,0,0,0.0009042471493766749,0.0012286978880690104,0.0016026494192204483,0,0,0.0009725214944175564,0,0,0.0015489905046035697,0,0,0,0,0,0,0.0010152026885299258,0,0.0013429784380849079,0.0007576696535719666,0,0.0007494041664420906,0,0.0013786423698483627,0.0015544783566770223,0.0007223028846542374
符合,0.005927215025380754,0,0,0,0,0,0,0,0.003201290320725696,0,0,0,0,0,0,0.0029096009976527395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001284378922040777,0,0,0,0,0,0.0011617233633192839,0,0,0,0,0,0,0.0013846231305903011,0,0,0,0,0.0011248919753144454,0,0,0.0009192622079665726,0,0.0009381673433489186,0.0019071516804323296,0.0011580370244510905,0,0,0.0008709954571902848,0,0,0,0,0,0,0.000583915354500367,0.000406982583390012
期待,0.00424290643284494,0,0,0,0.002879830980403416,0,0,0,0,0,0,0.0021488750558826897,0,0,0,0,0,0.0016579262670500174,0,0.0023904479379819204,0,0,0.0013261005602292742,0,0,0,0.0010757015720918642,0.003837760068323545,0,0,0,0.0016342204401753075,0,0,0,0,0.0009039509009175329,0,0,0.0008316019429541469,0.0007950837706765954,0.0006620900335105608,0.0008877148895903733,0,0,0.0007294346519968764,0,0,0.0008048823382729618,0.0005426387752392193,0.0007845099410365376,0.0024157102675775024,0.002020654886802397,0.0012495337701101258,0.001316079649194796,0,0.0013431455545766943,0.002730410858613168,0.0008289631335250087,0.0006916386809970383,0,0,0,0.0006111940750521956,0,0.001209053006648707,0,0.0003707059948421182,0,0.0008739968165793385
飯,0.0027107547907638395,0.003927177528804083,0,0,0,0,0.0016714382186254861,0,0.0029281586837574306,0,0.002277456754033557,0.004118690886554224,0,0.0011343061308924415,0.0011180242247073827,0.0013306780351016114,0.003860138705349829,0.0042369367717831905,0.0013337161128073227,0,0.0026755770568378965,0.001875337583979478,0.0008472337308333683,0.000985936974530983,0.003354875275862785,0.0008113439686244548,0.0006872560675407146,0,0.0005815506793525211,0.0015682353219049862,0.0008830954760538283,0.002610221882974117,0.0015841834777209694,0.001174796696650794,0.0011619446194124463,0,0.001155052214354142,0.0019258274420096947,0.0010908826468900232,0.0010626060162066528,0.0010159437520167085,0.0008460067449813285,0,0.0025934191227951495,0.0005537134193455994,0.0018641169761774467,0.0025329762922909806,0.00041298526504744253,0.001542696278370442,0.002773496296306741,0.0005012163512737944,0.0005144585270009753,0.0008606521656126813,0.000399157948349578,0.0016816629216541415,0.0019446326811238595,0.0012871854368188193,0.0013083262204022562,0.003177702578837393,0.00220940868914375,0.00026160665356453534,0.0003983413961197459,0.003114637983818997,0.0023429184120706183,0.001263065205209962,0.0011586796510603783,0.0021878938479760576,0.000947362914915236,0.0013352403597933886,0.0014890365650077615
偏,0.003594217657394449,0,0.001820338202511172,0,0.004879079717596874,0,0.0022161771249456473,0.0016069583094782236,0,0,0,0,0.004800953957656015,0,0.0014823998185043135,0,0,0,0.0017683879113436158,0.0020249775298522973,0.0011825250460587844,0.0008288431301963656,0,0,0,0,0,0,0,0,0.0011709053744043897,0.002076552024580439,0.0010502425832793272,0.0007788375114816527,0.0015406343215683812,0,0.0015314956108126619,0,0,0,0.0006735251349291337,0,0,0,0.0014683486353905286,0.0006179129678248932,0.0008396248294509526,0.0005475814105114908,0.0006818256207469223,0,0.0006645679152024914,0,0.0011411475582593057,0.0005292476290867809,0.0005574335409632988,0.001031363389039286,0.001706692409478892,0.0011564821279111666,0,0.0005858955409746624,0.0006937339052113782,0.0005281649540869442,0.0009177178971190804,0.0020709997464398496,0,0.0025605087774165413,0.00048349182594788,0.0003140295581465655,0.0010622453556596622,0.00024679111204986575
乾,0.00465100542696017,0,0,0,0,0,0.002867787323347401,0,0,0,0,0,0,0,0,0,0,0.0018173919664731036,0.004576674289999619,0,0.001530216289328117,0.0010725432525520776,0.0014536499920375877,0,0,0,0,0,0.0009978015624787621,0.0013453579456508948,0,0,0,0,0,0,0,0,0,0,0,0,0.00194619741652411,0,0.0009500394971657979,0,0,0.0007085837182820196,0.0008822990048502787,0,0,0,0,0.0006848593573692632,0.0014426652313924671,0,0,0.0014965161172227198,0.0009086959832365518,0.0007581631388123424,0,0,0.0011875493714572473,0.002679924250026515,0.0014447447488431231,0.0013253443563767493,0,0.0008127238349968917,0.0004581904774902476,0.0006387074522924433
還不錯,0.0026724037421531417,0,0.0013534735756380776,0,0,0,0.0032955822971902837,0.0011948195154232407,0,0,0.0022452358925302224,0,0.0011898822446983514,0.0022365165298407846,0.0033066201326354184,0,0.0038055264742334937,0.0010442484250843193,0.002629694093305945,0.0015056287749908549,0.0008792412311969497,0.001232537199430716,0,0.0009719881965130836,0.002480558534532672,0.0007998652867138918,0.0013550658974917694,0.0012086107165456496,0.0028666152634843306,0.0007730241697100699,0,0.0015439758885630083,0.0015617708649057684,0.002316351961524392,0.0011455057313456032,0.0006179216807231781,0.0011387108382283776,0.002531441786523086,0.0021508982499869357,0.0015713588170095554,0.003505496560902621,0.0008340376631918928,0.0016773873973805885,0.003195910135593796,0.002183518507806643,0.0009188719687818141,0.0006242851018254765,0.0008142849154245345,0.0015208706155827518,0.0010253465989922884,0.002470626368228237,0.001014360205079704,0.0021211897106224752,0.0011805322988056074,0.002486806792806054,0.0007668482109640507,0.0016919662326375382,0.0017197551517252768,0.0015663726376264789,0.0008712602215340424,0.0018053385781630158,0.0015708230656229173,0.0020470486010687274,0.001924809513482627,0.0033205218388987507,0.000761524636606945,0.001437960066002502,0.0007004699044403025,0.0028959694037824103,0.001467970065786846
個人,0.007904028946609448,0,0,0.001771521828387245,0.0035765212346337764,0.0027133703512454573,0.004873585802558901,0.00471180702073122,0.0014229893383411328,0,0.002213538970752873,0.004003098091643563,0.00469233674378605,0,0.001086646403824138,0.0012933319954398907,0,0.0020590126781436517,0,0.0014843731921519267,0,0.0012151369630778212,0.0008234557592430922,0.000958266237971497,0.0016303596439285343,0.0031542930333228448,0.002003903809405101,0.0035746447806806634,0.003956604501729004,0.0007621110684538415,0.001716622058951208,0.002029571924926227,0,0.002283651064849118,0.0011293341541484076,0.001827594675959588,0.0028065879683544835,0.0012478521890068395,0.0021205331316456097,0.0015491752960385048,0.0024685771565135304,0.0016445264185318232,0.0016537070271789671,0.0018904752918916048,0.0016145196568666692,0.0022647496848747987,0.0018464154341402016,0.0008027893191913921,0.0014993998573893802,0.0016847855964335669,0.0024357475160794164,0.002500100158512162,0.0025094927999916553,0.0015518216494652874,0.003677549272387915,0.0015120445965329215,0.0050042401410042925,0.001271607493836757,0,0.0017179205627779485,0.001525587315713691,0.002322970662112971,0.002690866094777782,0.0011385817098892622,0.001636822330805368,0.0018769346975144197,0.003189734528079281,0.0036830991023595345,0.0025955325531342266,0.002351774955544195
享用,0.004935465571025906,0,0,0,0,0,0,0,0.0026656461918698818,0,0.0020732803714543523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021176562081753766,0.0014276413832967556,0.0016078500839850083,0,0,0,0,0,0,0.0011687833302814097,0,0,0.0018497266618366659,0.00154032270898781,0.0010326143985981387,0.0011804581915161852,0,0,0,0,0,0.0012624247246956473,0,0,0.0007834937978313686,0,0.0007654500399827872,0.00141623546012794,0.00078119194311868,0.0015880445398373765,0.0009642727384914623,0,0,0,0,0.0007109577744358843,0.0015331067827835429,0,0,0.0012936462565044592,0,0.0006777714389396736
剛好,0.003651509101919673,0,0,0.0024552268688414654,0.0024784258628777625,0.007521148974563341,0,0,0,0,0,0,0.0016258268831894414,0,0.0030120582256983335,0,0,0,0.0017965758252595652,0,0,0.0025261644027726794,0.0011412620905927333,0,0.0022595842396660147,0,0,0,0.0007833750238563361,0,0,0.0007032173471525376,0.0010669833375778843,0,0.0007825959338276376,0.0016886270632268017,0.0015559074868288472,0.0008647255071029557,0,0,0,0.0011396092852479212,0.0007639807878288248,0,0.0007458769776907011,0.0012555248687095167,0.0017060167186204653,0,0.0006926938481194451,0.0009340061857135781,0.0006751610565969023,0,0.0011593373281232997,0,0.0011326379438124355,0.0005239016055017908,0.0005779656345675281,0.0011749163291731087,0,0,0.0010571879240443658,0.0005365838468896621,0.0009323462221133763,0.00105200563029905,0.0005671352875413979,0.0010405292052412425,0.0004911986338724655,0.0019142109340288416,0,0.00025072493594509787
